"pt_id"	"type"	"prep_no"	"sort_well"	"sort_plate"	"FACS_code"	"uniquely_mapped_percent"	"num_splices"	"num_GCAG_splices"	"insertion_length"	"deletion_length"	"unmapped_tooshort_percent"	"avg_mapped_read_length"	"deletion_rate"	"mismatch_rate"	"avg_input_read_length"	"num_ATAC_splices"	"num_annotated_splices"	"num_GTAG_splices"	"uniquely_mapped"	"multimapped_toomany"	"unmapped_mismatches"	"unmapped_mismatches_percent"	"total_reads"	"unmapped_other"	"insertion_rate"	"unmapped_other_percent"	"multimapped_percent"	"multimapped"	"num_noncanonical_splices"	"unmapped_tooshort"	"multimapped_toomany_percent"	"Assigned"	"Unassigned_Unmapped"	"Unassigned_MappingQuality"	"Unassigned_Chimera"	"Unassigned_FragmentLength"	"Unassigned_Duplicate"	"Unassigned_MultiMapping"	"Unassigned_Secondary"	"Unassigned_NonSplit"	"Unassigned_NoFeatures"	"Unassigned_Overlapping_Length"	"Unassigned_Ambiguity"
"7202_PRI_33_A1_P1"	"7202"	"PRI"	33	"A1"	"P1"	"CD56+ CD127-"	58.99	132879	870	1.31	1.54	31.36	294.71	0.01	0.46	301	80	128702	131112	238717	9	0	0	404676	121	0.01	0.03	9.62	38937	817	126892	0	146544	0	0	0	0	42121	79982	0	0	52691	0	6665
"7202_PRI_33_A2_P1"	"7202"	"PRI"	33	"A2"	"P1"	"CD56+ CD127-"	65.23	295076	1385	1.38	1.61	23.43	294.94	0.01	0.48	301	211	288505	292279	400770	22	0	0	614372	123	0.01	0.02	11.32	69546	1201	143911	0	268532	0	0	0	0	75856	138589	0	0	65337	0	12651
"7202_PRI_33_A3_P1"	"7202"	"PRI"	33	"A3"	"P1"	"CD56+ CD127-"	64.22	228127	1518	1.33	1.55	19.04	295	0.02	0.49	301	218	222654	225019	405908	62	0	0	632096	253	0.01	0.04	16.69	105486	1372	120387	0.01	244567	0	0	0	0	93718	197229	0	0	97354	0	11987
"7202_PRI_33_A4_P1"	"7202"	"PRI"	33	"A4"	"P1"	"CD56+ CD127-"	57.29	89729	583	1.36	1.57	27.3	294.6	0.01	0.49	301	29	87162	88532	164720	25	0	0	287501	115	0.01	0.04	15.36	44156	585	78485	0.01	102114	0	0	0	0	31971	87985	0	0	38324	0	4739
"7202_PRI_33_A5_P1"	"7202"	"PRI"	33	"A5"	"P1"	"CD56+ CD127-"	56.66	54438	588	1.38	1.65	30.66	294.75	0.02	0.49	301	57	52517	53590	123011	11	0	0	217109	152	0.01	0.07	12.6	27360	203	66575	0.01	73178	0	0	0	0	19660	55000	0	0	33658	0	2830
"7202_PRI_33_A6_P1"	"7202"	"PRI"	33	"A6"	"P1"	"CD56+ CD127-"	65.29	288003	1602	1.49	1.5	22.39	295.36	0.01	0.53	301	136	281881	285380	351497	44	0	0	538329	215	0.01	0.04	12.27	66058	885	120515	0.01	247087	0	0	0	0	61755	134679	0	0	51329	0	11226
"7202_PRI_33_A8_P1"	"7202"	"PRI"	33	"A8"	"P1"	"CD56+ CD127-"	56.69	48940	307	1.22	1.55	31.11	294.87	0.02	0.55	301	43	46981	48307	96306	28	0	0	169869	153	0.01	0.09	12.09	20542	283	52840	0.02	64216	0	0	0	0	13688	43376	0	0	19741	0	2332
"7202_PRI_33_A9_P1"	"7202"	"PRI"	33	"A9"	"P1"	"CD56+ CD127-"	67.49	178305	1123	1.35	1.6	19.58	294.91	0.01	0.52	301	40	174259	176615	215384	8	0	0	319134	32	0.01	0.01	12.91	41209	527	62501	0	151572	0	0	0	0	35096	83303	0	0	31518	0	7351
"7202_PRI_33_A11_P1"	"7202"	"PRI"	33	"A11"	"P1"	"CD56+ CD127-"	45.59	4018	18	1.21	1.52	30.68	292.74	0.02	0.52	301	2	3645	3887	79088	18	0	0	173472	347	0.02	0.2	23.51	40791	111	53228	0.01	41251	0	0	0	0	27563	74429	0	0	23133	0	269
"7202_PRI_33_A12_P1"	"7202"	"PRI"	33	"A12"	"P1"	"CD56+ CD127-"	70.03	342436	1822	1.33	1.54	16.08	294.91	0.01	0.52	301	304	335170	339107	386747	44	0	0	552267	221	0.01	0.04	13.84	76427	1203	88828	0.01	273320	0	0	0	0	69960	151748	0	0	52393	0	14419
"7202_PRI_33_B1_P1"	"7202"	"PRI"	33	"B1"	"P1"	"CD56+ CD127-"	47.05	5719	82	1.25	1.6	36.14	291.41	0.01	0.65	301	3	4908	5470	125676	139	0	0	267103	801	0.02	0.3	16.45	43939	164	96548	0.05	40615	0	0	0	0	31970	83876	0	0	66429	0	420
"7202_PRI_33_B2_P1"	"7202"	"PRI"	33	"B2"	"P1"	"CD56+ CD127-"	61.13	117433	826	1.31	1.62	29.68	294.67	0.01	0.5	301	81	114668	116131	173891	12	0	0	284447	142	0.01	0.05	9.13	25974	395	84428	0	119715	0	0	0	0	23228	56658	0	0	30238	0	5268
