"ILC1"	"NK"	"ILC3"	"ILC2"	"P.value"	"Correlation"	"RMSE"	"Absolute.score..sig.score."
"7202_PRI_33_A1_P1"	0.0409284604826753	23.540720259781	0	0.288215989725707	0	0.712326787245801	0.814651830447868	23.8698647099894
"7202_PRI_33_A2_P1"	0	29.4453042201894	0.0406113777958919	0.370764790732057	0	0.600485291446677	0.854546889043964	29.8566803887173
"7202_PRI_33_A3_P1"	9.82808029034543	0	4.03236775338985	1.44592335736508	0	0.616062043337004	0.816491906982187	15.3063714011004
"7202_PRI_33_A4_P1"	0	47.898130246599	0	0	0	0.444565223068793	0.910188262120192	47.898130246599
"7202_PRI_33_A6_P1"	0	37.7312378802695	2.00440845538553	0	0	0.523052968904669	0.886525723878671	39.7356463356551
"7202_PRI_33_A9_P1"	0	36.4207679573144	0	0	0	0.539181774922864	0.880093958684961	36.4207679573144
"7202_PRI_33_A12_P1"	0	35.9907956856756	0.765026259847251	0	0	0.514329240042178	0.88860231781523	36.7558219455229
"7202_PRI_33_B2_P1"	0	34.4807455570877	0	0.0791760898371751	0	0.5691852023927	0.869426366914449	34.5599216469249
"7202_PRI_33_B3_P1"	0	27.985891586327	0.793623202031833	0	0	0.483061906431019	0.898638393216916	28.7795147883588
"7202_PRI_33_B4_P1"	0	27.6678562207099	0.595662897253322	0.15413357449876	0	0.720445984883298	0.816865371687084	28.417652692462
"7202_PRI_33_B5_P1"	0	32.0221598530393	0.372450319141223	0.0108636008949109	0	0.586464562041132	0.864894618611014	32.4054737730754
"7202_PRI_33_B7_P1"	0	26.1000929988204	0	0	0	0.394205988374816	0.925807010925914	26.1000929988204
"7202_PRI_33_B12_P1"	1.74124407629192	20.4333720829821	0	0.0586762395581597	0	0.67671336757456	0.835965767852511	22.2332923988321
"7202_PRI_33_C1_P1"	0	31.2454110372955	0.0981895675362092	0	0	0.612416469760772	0.85618711605601	31.3436006048317
"7202_PRI_33_C5_P1"	2.61808494387095	0	10.199629358584	0	0	0.784967822461522	0.786050824002457	12.817714302455
"7202_PRI_33_C6_P1"	0	24.2559046333098	0	0.00951741877840831	0	0.537978122458383	0.880345963581524	24.2654220520882
